Country,Region,Income_Group,Year,GDP_Per_Capita,GDP_Growth_Rate,Inflation_Rate,Unemployment_Rate,Life_Expectancy,Education_Spend_PCT_GDP,Health_Spend_PCT_GDP,Exports_PCT_GDP,CO2_Emissions_Per_Capita,Internet_Users_PCT,Population
India,Asia,Lower middle income,2014,4357.08,5.35,9.35,7.75,67.9,3.17,3.74,27.89,6.41,39.62,309070450.0
India,Asia,Lower middle income,2015,3731.57,3.91,9.11,8.75,66.3,2.83,2.44,13.26,3.09,57.99,215877321.0
India,Asia,Lower middle income,2016,3839.52,3.84,9.27,10.41,64.4,4.55,5.69,18.87,0.72,51.86,917511152.0
India,Asia,Lower middle income,2017,6129.09,6.5,6.3,10.21,64.1,1.74,4.33,15.49,0.1,50.42,308646391.0
India,Asia,Lower middle income,2018,4215.48,3.95,8.45,9.97,70.1,5.53,2.2,20.11,3.59,58.82,374206064.0
India,Asia,Lower middle income,2019,15358.12,11.04,8.48,10.61,69.7,3.42,3.61,32.15,2.5,62.07,952357010.0
India,Asia,Lower middle income,2020,6299.7,5.65,9.3,12.67,68.3,4.21,1.77,28.69,0.71,55.29,9437027.0
India,Asia,Lower middle income,2021,29100.0,13.34,9.64,7.02,68.2,3.09,4.13,11.5,4.49,58.64,150219404.0
India,Asia,Lower middle income,2022,7966.91,6.25,15.15,9.81,68.9,3.61,3.28,20.54,1.89,68.74,94757167.0
India,Asia,Lower middle income,2023,3640.1,2.42,4.38,11.93,67.5,3.13,3.55,19.74,1.24,39.15,1078685181.0
Brazil,Americas,Upper middle income,2000,7500.0,2.61,9.76,4.1,67.6,4.44,4.25,14.79,6.42,57.44,916488444.0
Brazil,Americas,Upper middle income,2001,7694.24,2.59,5.56,4.71,71.9,4.63,3.16,41.6,6.8,54.43,322321471.0
Brazil,Americas,Upper middle income,2002,7631.24,0.87,8.89,6.84,74.5,4.34,5.69,30.7,5.9,64.43,184177206.0
Brazil,Americas,Upper middle income,2003,9271.25,7.32,8.5,7.98,70.4,3.95,5.56,17.43,2.28,56.34,688486568.0
Brazil,Americas,Upper middle income,2004,8882.51,4.32,4.64,8.68,71.3,3.55,2.17,20.48,0.15,45.16,973127150.0
Brazil,Americas,Upper middle income,2005,9989.93,5.9,6.74,7.96,72.7,3.43,4.61,20.97,9.8,62.27,983599726.0
Brazil,Americas,Upper middle income,2006,9191.44,3.45,6.05,7.42,68.8,3.75,3.98,14.98,4.44,81.98,1120921085.0
Brazil,Americas,Upper middle income,2007,10984.22,5.6,5.01,6.11,73.6,3.2,7.72,28.58,5.79,72.31,1122518452.0
Brazil,Americas,Upper middle income,2008,12528.45,6.62,6.93,9.63,73.6,6.08,3.97,42.36,5.4,60.49,1220561101.0
Brazil,Americas,Upper middle income,2009,8050.62,0.79,5.94,5.94,74.6,5.13,9.45,24.03,3.13,76.03,1394869316.0
Brazil,Americas,Upper middle income,2010,11203.67,4.1,6.24,8.23,71.5,3.74,2.5,28.99,6.29,65.17,484636022.0
Brazil,Americas,Upper middle income,2011,17371.81,7.93,2.88,11.0,73.4,5.78,2.55,19.27,6.6,73.29,295321734.0
Brazil,Americas,Upper middle income,2012,18248.67,7.69,8.76,5.75,74.6,4.49,5.39,19.5,3.66,72.74,346499889.0
Brazil,Americas,Upper middle income,2013,17924.7,6.93,5.69,9.12,69.5,4.24,3.27,28.19,5.75,73.63,361757739.0
Brazil,Americas,Upper middle income,2014,8342.46,0.76,8.32,6.06,74.8,3.95,5.72,25.77,2.43,85.96,603527089.0
Brazil,Americas,Upper middle income,2015,11292.19,2.77,7.3,4.22,72.6,4.52,6.27,37.23,7.43,76.6,1128035379.0
Brazil,Americas,Upper middle income,2016,20777.48,6.58,6.48,6.48,74.0,3.93,4.94,32.28,5.1,86.33,442960469.0
Brazil,Americas,Upper middle income,2017,14134.77,3.8,4.82,7.02,74.8,4.45,4.8,35.86,0.8,100.0,933776528.0
Brazil,Americas,Upper middle income,2018,24388.28,6.77,3.92,8.23,72.6,3.38,7.87,23.09,5.43,90.7,1322487600.0
Brazil,Americas,Upper middle income,2019,19789.5,5.24,5.94,11.01,76.8,4.31,4.33,25.67,5.4,87.99,947280483.0
Brazil,Americas,Upper middle income,2020,10295.89,1.6,3.71,13.27,72.7,4.3,3.87,24.36,5.66,88.21,794039257.0
Brazil,Americas,Upper middle income,2021,46302.23,9.05,7.13,7.71,71.8,3.07,6.57,30.7,6.44,92.85,610098849.0
Brazil,Americas,Upper middle income,2022,16416.04,3.62,10.25,6.65,75.3,2.9,2.84,40.95,3.31,78.09,332943011.0
Brazil,Americas,Upper middle income,2023,5443.83,-1.38,3.41,5.8,75.8,3.3,6.63,40.34,0.5,82.67,1208735443.0
UK,Europe,High income,2000,40000.0,-2.3,7.58,2.22,75.7,6.52,12.66,43.84,11.13,85.95,1337755412.0
UK,Europe,High income,2001,41494.46,3.74,2.49,5.78,78.8,6.05,8.95,20.5,8.26,71.66,430552306.0
UK,Europe,High income,2002,42044.53,2.52,5.78,6.84,76.2,4.51,10.41,20.18,9.55,88.5,254422968.0
UK,Europe,High income,2003,40550.89,0.46,6.69,5.44,79.8,4.56,11.1,29.25,8.84,85.14,886595350.0
UK,Europe,High income,2004,44015.07,2.42,4.09,5.1,79.7,4.8,8.01,15.97,13.5,73.56,1092845459.0
UK,Europe,High income,2005,41942.2,0.95,4.61,3.88,83.4,4.67,9.36,22.18,14.45,75.12,235635884.0
UK,Europe,High income,2006,48718.16,3.34,3.83,4.63,79.6,5.54,8.78,39.64,14.42,83.43,832469631.0
UK,Europe,High income,2007,39262.09,-0.27,3.63,5.0,80.9,4.73,6.85,10.87,11.95,100.0,1387762763.0
UK,Europe,High income,2008,51559.79,3.22,8.26,4.24,79.8,4.92,7.48,23.51,7.55,92.34,95123783.0
UK,Europe,High income,2009,29888.59,-3.19,3.76,6.4,82.4,5.61,9.69,51.18,7.65,81.17,937446994.0
UK,Europe,High income,2010,66474.67,5.21,3.84,3.59,80.4,6.06,9.11,35.39,8.16,96.69,135798691.0
UK,Europe,High income,2011,38509.25,-0.34,6.17,4.39,83.3,4.29,8.2,15.93,10.15,100.0,1178925595.0
UK,Europe,High income,2012,83970.11,6.37,3.79,5.38,80.2,5.63,8.77,37.08,11.91,90.14,123156024.0
UK,Europe,High income,2013,38991.59,-0.2,3.17,6.42,79.3,3.9,12.23,18.69,11.67,99.81,696000394.0
UK,Europe,High income,2014,55351.45,2.35,2.8,6.84,80.5,5.77,9.48,23.32,11.98,99.25,243347559.0
UK,Europe,High income,2015,45345.11,0.84,0.93,7.63,81.4,5.67,8.66,31.98,14.93,99.5,1070851316.0
UK,Europe,High income,2016,56825.23,2.22,0.5,2.87,80.8,4.89,8.72,30.57,11.06,100.0,436886678.0
UK,Europe,High income,2017,66944.85,3.08,0.5,5.59,82.1,4.71,9.81,17.18,8.07,100.0,86358803.0
UK,Europe,High income,2018,55301.05,1.82,5.98,5.3,81.0,4.89,8.55,26.12,10.34,100.0,1139651392.0
UK,Europe,High income,2019,60543.8,2.21,0.5,6.82,82.8,7.79,7.43,27.91,9.74,100.0,272874205.0
UK,Europe,High income,2020,9560.37,-6.91,0.5,9.08,83.5,4.92,5.11,24.54,10.78,95.21,17463024.0
UK,Europe,High income,2021,150999.17,6.53,1.01,4.94,78.2,7.56,7.21,29.6,12.34,100.0,666687372.0
UK,Europe,High income,2022,37694.97,-0.27,4.5,7.94,81.9,4.83,10.56,23.94,13.65,100.0,54277675.0
UK,Europe,High income,2023,54103.16,1.32,2.82,6.84,85.3,6.71,9.41,37.99,8.72,100.0,726012027.0
France,Europe,High income,2000,39000.0,3.03,1.64,9.03,79.3,5.13,9.28,16.53,8.06,92.0,926088170.0
France,Europe,High income,2001,39396.86,1.02,2.1,4.13,79.7,4.79,7.83,38.8,11.21,94.61,535024526.0
France,Europe,High income,2002,40273.18,1.62,2.5,7.66,80.4,5.96,12.25,23.56,11.86,83.57,815600510.0
France,Europe,High income,2003,42224.66,2.68,4.49,6.19,77.7,5.86,9.84,27.9,8.81,71.69,605191598.0
France,Europe,High income,2004,49053.24,5.9,0.79,4.56,79.0,5.81,10.22,38.6,8.83,84.33,1057181179.0
France,Europe,High income,2005,44575.84,2.71,5.43,4.72,81.5,6.23,7.44,35.03,10.65,87.8,1312374599.0
France,Europe,High income,2006,46349.93,2.92,1.7,3.94,81.1,6.74,9.03,33.09,13.4,91.41,416919058.0
France,Europe,High income,2007,62147.82,6.88,6.62,6.25,80.7,6.4,8.07,34.78,9.5,90.3,345727071.0
France,Europe,High income,2008,45066.89,1.82,3.3,3.84,81.4,7.17,9.59,18.04,10.89,100.0,776140007.0
France,Europe,High income,2009,29931.87,-2.9,2.5,2.79,79.4,4.68,7.77,9.06,11.18,96.89,830465546.0
France,Europe,High income,2010,37644.74,-0.35,0.5,1.95,83.0,4.95,12.84,24.36,10.37,100.0,785143802.0
France,Europe,High income,2011,72594.24,5.81,6.26,6.91,79.4,6.33,8.99,43.12,12.23,90.01,990899468.0
France,Europe,High income,2012,51592.17,2.36,5.96,2.72,80.4,4.78,6.2,29.17,9.76,100.0,1397687342.0
France,Europe,High income,2013,59745.69,3.34,3.38,6.15,84.7,4.42,8.48,32.62,12.29,96.46,537674216.0
France,Europe,High income,2014,83543.67,5.59,6.09,4.02,78.9,5.64,6.35,33.23,9.7,96.34,1221885986.0
France,Europe,High income,2015,35256.61,-0.67,2.26,5.8,80.9,6.89,7.33,29.48,10.41,98.72,695297383.0
France,Europe,High income,2016,87634.17,5.19,2.09,3.8,82.3,4.5,9.45,37.66,12.45,100.0,366757104.0
France,Europe,High income,2017,53112.63,1.83,3.71,4.56,79.9,4.58,8.54,45.68,8.95,100.0,88183158.0
France,Europe,High income,2018,26306.94,-2.16,4.77,6.47,81.1,5.57,9.77,14.37,8.94,100.0,277737637.0
France,Europe,High income,2019,38574.5,-0.06,0.5,9.83,82.0,5.85,7.79,26.85,9.15,100.0,351727843.0
France,Europe,High income,2020,15728.26,-4.44,5.3,5.97,82.1,5.93,10.04,31.76,9.27,100.0,641891748.0
France,Europe,High income,2021,142228.23,6.36,0.5,4.88,81.3,7.51,11.65,19.66,8.58,100.0,717747457.0
France,Europe,High income,2022,58635.02,1.87,9.75,3.71,80.7,5.02,7.57,31.23,13.25,100.0,1231474806.0
France,Europe,High income,2023,58068.46,1.75,2.28,6.02,83.1,5.47,8.91,22.64,10.17,100.0,697188605.0
Japan,Asia,High income,2000,40000.0,2.74,1.5,4.15,81.3,5.61,6.84,39.19,8.66,98.73,1117180866.0
Japan,Asia,High income,2001,41657.63,4.14,4.53,4.62,76.7,5.62,10.47,36.56,11.67,77.22,1268647485.0
Japan,Asia,High income,2002,41288.13,1.6,2.19,3.09,80.1,7.56,7.4,30.24,12.82,82.2,1377762391.0
Japan,Asia,High income,2003,43727.25,3.01,5.3,7.86,77.1,5.24,9.05,27.33,13.59,86.74,1246416145.0
Japan,Asia,High income,2004,44238.54,2.55,2.29,5.68,79.0,5.67,10.98,19.93,12.28,99.17,643241643.0
Japan,Asia,High income,2005,44136.13,1.99,2.82,1.0,78.8,6.49,9.82,21.6,8.87,83.39,487444006.0
Japan,Asia,High income,2006,53934.49,5.11,2.36,7.43,82.9,6.5,8.35,34.04,9.95,79.96,946810498.0
Japan,Asia,High income,2007,48476.81,2.78,5.39,2.76,79.2,6.02,8.24,37.78,12.75,100.0,717960327.0
Japan,Asia,High income,2008,41296.1,0.4,3.64,6.03,80.6,5.85,9.73,36.35,12.22,96.1,939189871.0
Japan,Asia,High income,2009,32639.24,-2.23,3.07,5.3,76.9,3.22,9.21,41.01,10.51,92.87,155453470.0
Japan,Asia,High income,2010,45230.08,1.24,2.82,5.66,80.9,6.21,8.35,35.13,9.48,100.0,25700175.0
Japan,Asia,High income,2011,57216.04,3.31,4.78,3.95,82.0,5.11,9.51,23.54,8.18,97.42,339030413.0
Japan,Asia,High income,2012,51723.5,2.17,2.39,6.6,77.6,4.45,7.4,39.5,13.42,96.96,1112512301.0
Japan,Asia,High income,2013,51063.37,1.9,3.17,4.07,79.5,5.54,9.52,41.64,10.53,100.0,1161086876.0
Japan,Asia,High income,2014,56838.2,2.54,5.0,1.0,82.5,4.85,6.25,35.11,12.75,99.63,850121865.0
Japan,Asia,High income,2015,71161.41,3.92,5.44,8.5,79.2,6.28,7.55,30.3,9.49,78.47,913287851.0
Japan,Asia,High income,2016,58659.23,2.42,4.1,5.09,84.8,4.88,9.29,22.58,7.36,97.88,196463725.0
Japan,Asia,High income,2017,57267.42,2.13,2.56,1.0,82.5,4.26,7.66,23.31,9.59,100.0,11225814.0
Japan,Asia,High income,2018,53639.8,1.64,1.5,5.64,84.4,3.62,9.17,28.4,11.34,100.0,159816832.0
Japan,Asia,High income,2019,46947.46,0.85,3.21,1.0,81.8,6.58,8.4,23.47,7.24,89.92,575723995.0
Japan,Asia,High income,2020,16540.88,-4.32,4.02,4.84,83.8,5.02,9.22,46.12,11.79,100.0,639002994.0
Japan,Asia,High income,2021,102769.41,4.6,1.22,4.39,85.2,5.01,9.77,28.32,12.45,100.0,507007027.0
Japan,Asia,High income,2022,62140.54,2.02,7.04,6.42,82.8,6.45,9.43,23.88,10.72,100.0,16883402.0
Japan,Asia,High income,2023,68946.31,2.4,0.5,3.71,87.8,5.01,6.06,37.33,11.71,100.0,1183923306.0
South Korea,Asia,High income,2000,31000.0,1.04,6.55,2.61,80.8,6.5,7.99,43.92,9.5,82.89,1283331013.0
South Korea,Asia,High income,2001,31827.26,2.67,0.5,3.61,75.5,6.67,11.38,37.8,8.03,96.32,234020852.0
South Korea,Asia,High income,2002,31130.17,0.21,2.57,4.38,80.9,6.81,11.09,24.38,9.58,66.17,948130335.0
South Korea,Asia,High income,2003,31702.21,0.75,0.5,7.54,83.2,5.04,8.93,18.53,10.01,79.74,1349642361.0
South Korea,Asia,High income,2004,32791.55,1.41,2.78,4.82,78.9,5.24,11.4,35.61,9.41,92.97,844318556.0
South Korea,Asia,High income,2005,33559.19,1.6,0.5,2.03,80.8,3.46,9.27,18.2,13.15,90.0,1167193122.0
South Korea,Asia,High income,2006,29111.84,-1.04,1.91,3.42,78.7,5.33,8.29,10.21,11.5,78.27,621939227.0
South Korea,Asia,High income,2007,37179.29,2.63,2.59,9.67,80.6,6.4,11.94,41.27,9.1,77.74,55723616.0
South Korea,Asia,High income,2008,53103.96,6.96,2.5,5.51,81.1,6.59,9.15,33.08,9.22,94.69,386436712.0
South Korea,Asia,High income,2009,24871.35,-2.42,4.75,2.65,80.3,5.89,9.38,40.46,7.1,85.07,284910716.0
South Korea,Asia,High income,2010,34679.09,1.13,5.75,1.0,86.5,6.56,9.33,29.45,10.57,100.0,803153768.0
South Korea,Asia,High income,2011,44596.76,3.36,5.33,4.59,80.4,6.5,12.5,31.92,13.91,94.09,1011928387.0
South Korea,Asia,High income,2012,34146.33,0.81,3.81,3.06,78.0,4.87,10.29,39.53,11.03,100.0,1036796347.0
South Korea,Asia,High income,2013,46272.06,3.13,3.84,3.81,82.3,6.68,9.88,34.5,8.47,100.0,682935120.0
South Korea,Asia,High income,2014,40381.91,1.91,1.51,3.65,80.8,4.71,8.54,11.06,10.43,100.0,1112424505.0
South Korea,Asia,High income,2015,34569.66,0.73,2.64,5.17,80.9,4.79,7.5,22.37,11.75,96.2,1300954661.0
South Korea,Asia,High income,2016,55380.44,3.69,2.61,4.47,77.4,6.14,7.14,30.6,10.55,100.0,172527490.0
South Korea,Asia,High income,2017,30188.69,-0.16,3.02,7.01,85.9,4.21,8.03,31.89,7.79,100.0,999676709.0
South Korea,Asia,High income,2018,53307.74,3.06,4.01,7.12,87.2,5.89,8.24,29.74,6.46,100.0,881565997.0
South Korea,Asia,High income,2019,40853.73,1.46,1.75,5.03,83.8,4.47,7.71,41.26,9.45,100.0,378915404.0
South Korea,Asia,High income,2020,9672.46,-5.66,4.75,8.53,82.4,6.35,8.79,33.9,9.79,100.0,691592750.0
South Korea,Asia,High income,2021,89011.52,5.15,6.14,2.34,83.2,4.68,9.29,30.68,7.89,100.0,147958209.0
South Korea,Asia,High income,2022,63437.28,3.31,9.41,4.72,81.4,5.5,9.9,15.56,5.41,100.0,518053652.0
South Korea,Asia,High income,2023,31019.38,0.0,5.47,4.36,81.7,5.98,8.44,51.04,9.45,100.0,949099574.0
Canada,Americas,High income,2000,43000.0,-0.6,4.64,5.75,77.2,4.63,10.69,18.11,13.29,70.99,1246355896.0
Canada,Americas,High income,2001,44440.12,3.35,1.24,2.17,75.7,5.62,6.71,18.66,9.56,55.11,566303501.0
Canada,Americas,High income,2002,48810.8,6.54,4.57,4.96,78.8,5.52,9.82,18.19,12.23,90.15,730053819.0
Canada,Americas,High income,2003,47664.83,3.49,2.52,5.38,81.4,4.76,5.76,32.56,11.98,70.99,1363885124.0
Canada,Americas,High income,2004,47486.21,2.51,3.49,4.55,82.6,3.9,7.76,28.97,6.71,84.24,81453307.0
